topic-id,word,lift
22,nabs,27.591503
22,prime-boost,27.501078
22,immunogenicity,27.480447
22,mva,27.440712
22,fvm,27.273046
22,advax,27.268079
22,adjuvants,27.160434
22,adjuvanted,27.152817
22,vaccinology,27.113522
22,chadox,27.083140
22,ediii,27.027227
22,alum,26.999429
22,pvax,26.992822
22,rvsv,26.834298
22,vlp-based,26.620995
22,vaccinees,26.590966
22,adhu,26.577182
22,epitope-based,26.547628
22,reactogenicity,26.509906
22,hmabs,26.466583
20,frameshifting,30.613252
20,pseudoknot,30.449607
20,nsp,30.036597
20,pseudoknots,30.010384
20,pa-x,29.941667
20,mtase,29.933056
20,ires,29.913210
20,tbsv,29.889375
20,ppmo,29.886139
20,rdrps,29.861783
20,yhv,29.852342
20,prf,29.825015
20,trna,29.798829
20,minus-strand,29.777548
20,subgenomic,29.693243
20,eav,29.550983
20,shfv,29.495515
20,anticodon,29.475655
20,frameshift,29.470476
20,trnas,29.335314
25,contigs,30.416755
25,contig,29.857825
25,apmv,29.854414
25,ibvs,29.815100
25,neighbor-joining,29.787571
25,enc,29.625899
25,rscu,29.483072
25,monophyletic,29.360216
25,outgroup,29.299499
25,astv,29.284972
25,non-synonymous,29.268176
25,blastx,29.151467
25,phylogenetic,29.131529
25,qx-like,29.114572
25,nephropathogenic,29.112464
25,dn/ds,29.110349
25,k-mer,28.970451
25,tastv,28.965294
25,simplot,28.911685
25,mega,28.841742
26,rt-lamp,30.544451
26,naats,29.779925
26,nasba,29.564628
26,mngs,29.330747
26,nanotrap,29.199212
26,loop-mediated,29.067583
26,naat,28.990201
26,rt-rpa,28.973988
26,copies/reaction,28.942599
26,rt-iipcr,28.939037
26,mrt-pcr,28.824586
26,monoplex,28.588031
26,xtag,28.568094
26,pcr/esi-ms,28.356692
26,virochip,28.240813
26,singleplex,28.214773
26,notomi,28.134843
26,r-mix,28.101512
26,vidisca,28.089737
26,copies/µl,28.084465
19,ifitm,31.977462
19,autophagy,31.963874
19,isg,31.884295
19,rig-i,31.857562
19,ifit,31.674773
19,isgs,31.645299
19,pkr,31.611391
19,mavs,31.569742
19,upr,31.442960
19,ubiquitination,31.406010
19,tbk,31.388914
19,autophagic,31.312162
19,beclin,31.277334
19,ddx,31.262778
19,irf,31.245171
19,traf,31.229072
19,autophagosome,31.221530
19,xbp,31.160435
19,sgs,31.117384
19,ifnl,31.115413
8,pdb,32.356758
8,rmsd,31.522348
8,protomer,31.219712
8,subsite,31.146477
8,adpr,31.081132
8,gln,31.068230
8,oxyanion,31.060027
8,diub,30.956937
8,pymol,30.935535
8,β-sheet,30.904492
8,helices,30.823358
8,b-sheet,30.726706
8,hrc,30.712825
8,macrod,30.683729
8,glu,30.651127
8,nhr,30.463320
8,beamline,30.364399
8,autodock,30.352245
8,cys,30.348274
8,crystallographic,30.261442
28,sepharose,31.632290
28,pgex,31.105417
28,coomassie,31.100566
28,anti-his,30.727095
28,papn,30.473385
28,dpap,30.240268
28,sdab,30.162722
28,gst-n,30.162722
28,a-sepharose,29.888546
28,pgbkt,29.882107
28,pfastbac,29.835911
28,hfgl,29.822336
28,pqe,29.707157
28,gst,29.592353
28,ivtt,29.453209
28,eqcxcl,29.414782
28,aahig,29.354758
28,bsmab,29.291657
28,anti-gst,29.269893
28,tris-hc,29.190630
14,lncrnas,32.630655
14,lncrna,32.190574
14,mirnas,31.986460
14,mirna,31.870154
14,kegg,31.852255
14,qtl,31.831747
14,degs,31.724153
14,gwas,31.695030
14,cscs,31.372303
14,hsa-mir,31.339251
14,dmd,31.316790
14,unigenes,31.279123
14,dystrophin,31.243914
14,morpholinos,31.071769
14,vsels,30.979126
14,itraq,30.845941
14,omics,30.829218
14,risc,30.712267
14,endu,30.639583
14,gse,30.607071
6,calves,32.913525
6,piglets,32.734712
6,pdcov,32.492316
6,colostrum,32.469363
6,sows,32.398121
6,pedv,32.393053
6,herds,32.336802
6,brsv,32.148304
6,fecv,32.138135
6,calving,32.031001
6,fcov,31.952302
6,piglet,31.945670
6,heifers,31.924539
6,colostral,31.738624
6,diarrheic,31.725985
6,replacer,31.691274
6,cpv,31.669724
6,bvd,31.593478
6,sow,31.572498
6,gilts,31.534014
7,ang,37.667947
7,quercetin,37.038541
7,flavonoids,37.034862
7,glycyrrhizin,36.954051
7,emodin,36.705212
7,egcg,36.614652
7,licorice,36.606050
7,niclosamide,36.600775
7,herb,36.527834
7,lycorine,36.501119
7,spla,36.495270
7,mannich,36.400367
7,radix,36.379362
7,glabra,36.367570
7,flavonoid,36.353503
7,apelin,36.088534
7,herbs,36.083077
7,pomegranate,36.082823
7,saon,36.072321
7,liquorice,36.041748
24,preprint,36.725421
24,covid,36.610829
24,medrxiv,36.587926
24,author/funder,36.576384
24,perpetuity,36.478763
24,biorxiv,36.338871
24,ncov,36.305401
24,copyright,36.300799
24,cc-by-nc-nd,36.290493
24,holder,36.180872
24,pilgrims,35.905264
24,peer-reviewed,35.719948
24,cc-by,35.679212
24,license,35.666003
24,wuhan,35.500226
24,mers-cov,35.430345
24,hajj,35.392915
24,cc-by-nd,35.340613
24,cc-by-nc,35.262747
24,hcov-emc,35.137938
9,chitosan,41.440670
9,aunps,41.260135
9,functionalized,41.190622
9,aptamers,41.140867
9,nanomaterials,41.086147
9,aptamer,41.072460
9,electrochemical,40.981753
9,tio,40.780375
9,dmf,40.769056
9,graphene,40.752669
9,agnps,40.717339
9,cnts,40.668059
9,cantilever,40.607172
9,nanoscale,40.427265
9,dendrimers,40.373358
9,biosensors,40.332153
9,equiv,40.329319
9,nanoparticles,40.311972
9,nanostructures,40.238883
9,hydrogels,40.116221
2,mrsa,42.301797
2,nec,41.558199
2,epec,41.344496
2,biofilm,41.177560
2,stec,40.953579
2,colistin,40.828031
2,pfge,40.787494
2,faecalis,40.746547
2,faecium,40.710265
2,probiotic,40.682852
2,mics,40.674773
2,ca-mrsa,40.667946
2,enterobacteriaceae,40.642095
2,biofilms,40.617143
2,tigecycline,40.599903
2,adhesin,40.583778
2,methicillin,40.434744
2,mssa,40.255209
2,ehec,40.119629
2,esbl,40.097057
12,wind,43.158420
12,respirator,42.848932
12,bioaerosols,42.745679
12,wastewater,42.727590
12,bioaerosol,42.427395
12,ffr,42.411406
12,cfd,42.271572
12,pollutant,42.232395
12,groundwater,41.931725
12,ffrs,41.910048
12,plume,41.759130
12,hvac,41.688967
12,aerodynamic,41.642136
12,occupants,41.540510
12,niosh,41.510311
12,exhaust,41.484128
12,lift-up,41.425410
12,uvgi,41.413540
12,papr,41.401541
12,samplers,41.371875
23,demyelination,54.463178
23,astrocytes,54.241846
23,microglia,54.208381
23,myelin,54.176437
23,oligodendrocytes,53.941284
23,jhmv,53.695360
23,demyelinating,53.639177
23,remyelination,53.566701
23,axons,53.472689
23,oligodendrocyte,53.446864
23,axonal,53.215131
23,gfap,53.157735
23,glial,53.103627
23,microglial,53.062020
23,astrocyte,52.987236
23,mog,52.924179
23,hippocampus,52.878785
23,adem,52.746350
23,apod,52.365965
23,bbb,52.352875
16,une,155.727849
16,dans,155.514321
16,sont,154.911882
16,les,154.804274
16,chez,154.337326
16,avec,154.319864
16,d'une,154.090473
16,être,153.727732
16,est,153.417408
16,qui,153.404977
16,peut,153.199568
16,d'un,153.163652
16,été,152.944254
16,traitement,152.896720
16,cette,152.791725
16,pour,152.547950
16,après,152.206961
16,elle,152.102922
16,maladie,151.946992
16,comme,151.912787
5,een,225.919047
5,het,225.646562
5,bij,224.251284
5,zijn,223.132887
5,voor,222.687045
5,della,222.245535
5,dei,221.945710
5,ook,221.478889
5,wordt,221.094969
5,sono,221.065440
5,delle,220.624925
5,niet,220.475741
5,deze,220.361769
5,kunnen,219.110347
5,alla,218.266864
5,più,217.912247
5,degli,217.207370
5,uit,217.082743
5,maar,216.954305
5,zich,216.767709
17,und,256.375710
17,eine,254.830606
17,ist,254.073827
17,einer,253.177276
17,sind,252.999083
17,für,252.974502
17,oder,252.853791
17,auch,252.848620
17,nicht,252.780298
17,mit,252.648969
17,durch,252.316872
17,ein,252.278827
17,nach,252.216188
17,sich,252.061385
17,wird,251.630187
17,bei,251.389155
17,zur,251.376884
17,kann,250.587876
17,können,249.148684
17,über,249.118040
1,por,277.409734
1,pacientes,275.658735
1,como,275.008618
1,más,273.941159
1,infección,272.825241
1,tratamiento,272.602155
1,enfermedad,272.520216
1,puede,272.248511
1,casos,271.859947
1,las,270.814892
1,riesgo,269.725104
1,pueden,269.640000
1,infecciones,269.077598
1,diagnóstico,268.933255
1,esta,268.671509
1,sobre,268.385933
1,paciente,268.110094
1,también,268.064124
1,estos,267.559317
1,debe,267.319090
