topic-id,word,probability
23,mice,0.018668
23,brain,0.014160
23,cns,0.013098
23,cells,0.009001
23,disease,0.007165
23,rats,0.006910
23,neurons,0.006186
23,mouse,0.004744
23,spinal,0.004569
23,astrocytes,0.004457
23,microglia,0.004372
23,virus,0.004328
23,rat,0.004312
23,demyelination,0.004206
23,csf,0.004159
23,animals,0.003786
23,cell,0.003746
23,myelin,0.003736
23,infection,0.003625
16,les,0.032602
16,des,0.031694
16,une,0.019954
16,est,0.017813
16,dans,0.014458
16,par,0.014300
16,sont,0.009046
16,pour,0.007764
16,chez,0.006289
16,sur,0.006228
16,avec,0.006226
16,cas,0.005686
16,d'une,0.005478
16,qui,0.005213
16,pas,0.004709
16,être,0.004544
16,ces,0.003782
16,peut,0.003560
16,d'un,0.003505
5,van,0.024202
5,een,0.015576
5,het,0.013545
5,work,0.011061
5,met,0.007619
5,bij,0.007482
5,zijn,0.005145
5,del,0.004849
5,della,0.004738
5,submitted,0.004667
5,che,0.004512
5,voor,0.004511
5,door,0.003878
5,con,0.003874
5,worden,0.003796
5,form,0.003762
5,dei,0.003688
5,institution,0.003567
5,section,0.003550
17,der,0.037499
17,die,0.032783
17,und,0.028437
17,bei,0.015193
17,von,0.014628
17,mit,0.013613
17,eine,0.013115
17,ist,0.011551
17,werden,0.010236
17,den,0.008862
17,für,0.007282
17,einer,0.007268
17,sind,0.007035
17,des,0.006863
17,das,0.006822
17,oder,0.006592
17,auch,0.006582
17,nicht,0.006451
17,als,0.006337
1,los,0.027080
1,con,0.021533
1,las,0.015392
1,del,0.014171
1,por,0.012737
1,una,0.010921
1,para,0.008974
1,pacientes,0.007382
1,como,0.006229
1,más,0.004846
1,virus,0.004427
1,son,0.004165
1,infección,0.003841
1,tion,0.003753
1,tratamiento,0.003678
1,enfermedad,0.003620
1,puede,0.003440
1,casos,0.003204
1,sin,0.003129
